ID,NAME,CODE
158,Somalia,SOM
6,Angola,AGO
16,Burundi,BDI
18,Benin,BEN
19,Burkina Faso,BFA
32,Botswana,BWA
33,Central African Republic,CAF
38,Ivory Coast,CIV
39,Cameroon,CMR
40,Democratic Republic of the Congo,COD
41,Republic of Congo,COG
48,Djibouti,DJI
51,Algeria,DZA
53,Egypt,EGY
54,Eritrea,ERI
57,Ethiopia,ETH
62,Gabon,GAB
64,Ghana,GHA
65,Guinea,GIN
66,Gambia,GMB
67,Guinea Bissau,GNB
68,Equatorial Guinea,GNQ
88,Kenya,KEN
98,Liberia,LBR
99,Libya,LBY
103,Lesotho,LSO
107,Morocco,MAR
110,Madagascar,MDG
115,Mali,MLI
120,Mozambique,MOZ
121,Mauritania,MRT
123,Malawi,MWI
125,Namibia,NAM
126,Niger,NER
127,Nigeria,NGA
148,Rwanda,RWA
150,Sudan,SDN
151,South Sudan,SDS
152,Senegal,SEN
155,Sierra Leone,SLE
166,Swaziland,SWZ
168,Chad,TCD
169,Togo,TGO
176,Tunisia,TUN
180,United Republic of Tanzania,TZA
181,Uganda,UGA
192,South Africa,ZAF
193,Zambia,ZMB
194,Zimbabwe,ZWE
367,Western Sahara,ESH